Id	quartile	guideScore	mfe	gq	dr	result
KRAS-0	1	-0.5144502947517202	-7.3	0	0	...........((((.........)))).(((.(((.......))).))).............. ( -7.30)
KRAS-1	1	0.10252839322160806	-10.3	0	0	(.(((((....((((.........)))).))))).)(((((...)))))............... (-10.30)
KRAS-2	1	-0.015873937477888955	-11.1	0	0	(.(((((....((((.........)))).))))).).........(((((........))))). (-11.10)
KRAS-3	1	-0.02199356424200022	-9.3	0	0	(.(((((....((((.........)))).))))).)((((((((.........)))).)))).. ( -9.30)
KRAS-4	1	0.0479315792422941	-10.9	0	0	..((((((((.((((.........))))..((((((.(..........))))))))))))))). (-10.90)
KRAS-6	2	0.3960356481206331	-8.4	0	1	..(((((....((((.........)))).)))))..(((..(((...)))..)))......... ( -8.40)
KRAS-7	1	0.28668607967055965	-8.6	0	0	......(((((((((.........))))...............)))))................ ( -8.60)
KRAS-8	1	-0.05302422495092207	-7.9	0	0	((((((((...((((.........))))..........................)))))))).. ( -7.90)
KRAS-9	1	-0.5976579773103526	-7.9	0	0	......(((((((((.........)))..............((........))))))))..... ( -7.90)
KRAS-10	3	0.8960478441001012	-8.5	0	0	(.(((((....((((.........)))).))))).)....(((..((........))..))).. ( -8.50)
KRAS-12	2	0.5592659887149035	-7.4	0	0	...((((((((((((.........)))).....(((....)))...........)))).)))). ( -7.40)
KRAS-13	2	0.4665259588737473	-9.2	0	0	(.(((((....((((.........)))).))))).).((((((...))))))(((......))) ( -9.20)
KRAS-14	2	0.32520450611833396	-15.42	1	0	(.(((((....((((.........)))).))))).)......(((...++.++...++.++))) (-15.42)
KRAS-15	2	0.44026306347999755	-10.5	0	0	((((((((...............((((((..........)))))).......)))))))).... (-10.50)
KRAS-16	3	0.6861684879176857	-7.7	0	0	(.(((((....((((.........)))).))))).)........((((((....)))).))... ( -7.70)
KRAS-17	3	0.7150393428354873	-9.3	0	0	...........((((.........))))....(((((((......)))))))............ ( -9.30)
KRAS-18	3	0.5614867591420589	-8.3	0	0	.((((((....((((.........))))(((.......)))..((((......)))))))))). ( -8.30)
KRAS-19	4	0.9830323878229388	-6.9	0	0	(.(((((....((((.........)))).))))).)............................ ( -6.90)
KRAS-20	1	0.16542703413848664	-11.6	0	0	..(((((((.....((((((((.((....))....))))))))..)))))))............ (-11.60)
KRAS-21	3	0.7025017060284156	-6.7	0	1	..(((((....((((.........)))).))))).............................. ( -6.70)
KRAS-22	3	0.6234119717491683	-6.9	0	0	.................((((...((((.(.........))))).....))))........... ( -6.90)
KRAS-23	1	0.051450653674047	-11.7	0	1	..(((((....((((.........)))).)))))......((((((.......))))))..... (-11.70)
KRAS-24	1	0.17505974509856193	-12.2	0	0	(.(((((....((((.........)))).))))).).((((((((....)))..)))))..... (-12.20)
KRAS-26	4	1.4005395053093177	-8.6	0	0	((((...((..((..(((.((((((..........)))))).)))..))..))...)))).... ( -8.60)
KRAS-27	3	0.5982112440404006	-8.3	0	1	..(((((....((((.........)))).)))))...........((((((...)))))).... ( -8.30)
KRAS-28	4	1.1011293382935636	-10.9	0	0	(((.((((..............(((((........))))).............)))).)))... (-10.90)
KRAS-29	3	0.921980596924933	-11.8	0	0	.....(((.....(((...((...(((((((........)))))))...)).))).....))). (-11.80)
KRAS-30	4	1.0403727179477125	-8.7	0	0	(.(((((....((((.........)))).))))).)(((((............)))))...... ( -8.70)
KRAS-31	4	0.9766110328703477	-10.0	0	0	......................(((((((((.....((((...)))).....)))))))))... (-10.00)
KRAS-32	2	0.5231570131631177	-6.7	0	1	..(((((....((((.........)))).))))).............................. ( -6.70)
KRAS-33	4	1.1607941251284153	-7.7	0	0	((((((((...((((.........)))).............))))))))............... ( -7.70)
KRAS-34	4	1.6006697297633679	-7.0	0	0	(((((......((((.........)))).........)))))...................... ( -7.00)
