Position	Replicate1	Replicate2	Replicate3
1659	0.374306979	0.437034169	0.32886722
1640	0.522411084	0.421645564	0.511828383
1622	0.53449891	0.45036268	0.493421803
1604	0.646774028	0.67769627	0.790670486
1585	0.813105438	0.717092968	0.673689837
1567	0.864110481	0.931237876	1.012463081
1549	0.569630815	0.454063416	0.402025438
1530	0.698670187	0.852307337	0.609134107
1512	0.704305198	0.697140007	0.622711681
1494	0.889626384	0.801760553	0.677119534
1475	1.120577039	0.958150065	1.00466107
1457	0.430658932	0.599007043	0.350831343
1439	0.465098945	0.545146973	0.629592379
1420	0.536408586	0.528111714	0.435270452
1402	0.569573846	0.577015433	0.522239974
1384	0.648991965	0.682118453	0.592486582
1365	0.827992375	0.838373875	0.747391869
1347	0.862266687	0.868262396	0.849060973
1329	0.67956784	0.815149786	0.681890665
1310	0.849883406	0.893195928	0.769057292
1292	0.927062901	1.028200494	0.891944221
1274	0.521620993	0.541922519	0.490118692
1255	0.29761845	0.261534694	0.273634201
1237	0.601928807	0.553697272	0.512854523
1219	0.611913434	0.585200479	0.620552488
1200	0.937604324	0.674416748	0.743707845
1182	0.859999559	0.97034497	0.90936983
1164	0.868996818	0.727815121	0.722048054
1145	0.794828064	0.618738319	0.668944218
1127	0.582176772	0.665528505	0.681688159
1109	0.412792181	0.437647481	0.390339071
1090	0.46575711	0.501512381	0.464542103
1072	0.55908029	0.544595792	0.586419371
1054	0.616072311	0.623329311	0.595975853
1035	0.844352602	0.812919476	0.810898046
1017	1.217087541	1.111697341	0.93727356
999	0.774223508	0.755341702	0.766667513
980	0.810622212	0.734674883	0.691550343
962	0.808529183	0.716238968	0.767013563
944	1.148762948	1.102672975	0.956911565
925	1.002643995	1.018128848	1.082607391
907	0.867024529	0.874382838	0.892960197
889	0.969587894	0.863380021	0.792102361
870	1.102173582	0.992165792	0.936767199
852	0.717645162	0.677464735	0.658178326
834	0.871006123	0.776270984	0.82482918
816	1.215244263	1.139471493	1.030418225
797	1.041253615	1.019306537	0.972084863
779	0.710016028	0.83100881	0.794057762
761	0.919830981	0.97218483	0.865158123
742	1.065339273	0.850463758	0.841742792
724	0.611720249	0.697494735	0.618501847
706	0.409295312	0.416535982	0.327509167
687	0.620357719	0.562407055	0.640634383
669	0.873809194	0.696390654	0.697720345
651	0.835414391	0.787398355	0.934369148
632	0.829098373	0.819536691	0.787088186
614	0.60145969	0.601543729	0.660617198
596	0.420818534	0.467491344	0.362342004
577	0.520324241	0.452284742	0.47402939
559	0.546865479	0.533021465	0.548817225
541	0.622048291	0.623847376	0.582107385
522	0.725466425	0.637620199	0.640276341
504	0.976256298	0.90835217	0.931103982
486	0.412989039	0.394132655	0.334740198
467	0.726010193	0.816592677	0.682034326
449	0.829889835	0.819855918	0.785338116
431	0.7116407	0.715442303	0.61599576
412	1.069550187	1.294278698	1.1394466
394	0.515004565	0.510180302	0.510166932
376	0.511646199	0.596336384	0.521629528
357	0.84686654	0.771548885	0.720303953
339	0.929445864	0.905922568	0.851266471
321	0.374425397	0.42793521	0.385379426
302	0.783739234	0.719367578	0.637815778
284	0.691747912	0.795764272	0.637674042
266	0.778268011	0.995101007	0.770910262
247	0.914065803	1.196540411	0.930910038
229	0.865837075	0.900586532	0.948349848
211	0.622144404	0.667635799	0.599012883
192	0.595500359	0.572304338	0.504068266
174	0.626395997	0.630481289	0.556734701
156	0.46670557	0.531362955	0.413964937
137	0.699858937	0.736172145	0.656763626
119	0.990755008	0.950131095	0.866687858
101	0.919071007	1.076190134	0.880730199
82	0.58749423	0.751704362	0.566122603
64	0.983541235	0.946279227	0.924115599
46	0.945834237	0.924651647	0.883075304
27	0.629528598	0.667687742	0.561885055
