Position	Replicate1	Replicate2	Replicate3
555	0.210340254	0.240104038	0.198399006
552	0.24147112	0.19840387	0.247672179
549	0.205952585	0.190232	0.258266632
546	0.294362345	0.257454125	0.380517807
543	0.252505478	0.256277921	0.3498216
540	0.250136765	0.293269547	0.320545858
537	0.351267287	0.435952525	0.44469658
535	0.565136217	0.58301798	0.644331347
532	0.393115355	0.361114924	0.402531709
529	0.374753744	0.356076376	0.401879021
526	0.666223203	0.647814114	0.664058131
523	0.243961918	0.283520581	0.2387668
520	0.563284515	0.63037307	0.643238185
517	0.330963308	0.282985166	0.286609708
515	0.509952977	0.478316885	0.541084721
512	0.411669182	0.450854199	0.456964681
509	0.699006755	0.67882394	0.751345256
506	0.782765338	0.846856184	0.885201726
503	0.759127774	0.665556061	0.698810482
500	0.655630306	0.592721553	0.605975259
498	0.581673119	0.59458538	0.564161951
495	0.546037515	0.569278756	0.547425017
492	0.506869414	0.503004953	0.447166958
489	0.697329017	0.607796207	0.56171404
486	0.679017556	0.794780128	0.754906623
483	0.624772756	0.479778611	0.498020433
480	0.808505844	0.739831266	0.81079569
478	0.394837583	0.418453012	0.386305787
475	0.786548514	0.796404386	0.827763652
472	0.71729976	0.726321353	0.805602434
469	0.748263796	0.820380789	0.704150097
466	0.729578614	0.772960625	0.798748867
463	0.78816888	0.695515903	0.765360706
460	0.573730543	0.591575246	0.590114621
458	0.733263796	0.729603595	0.727813978
455	0.451825887	0.528909314	0.54682164
452	0.551999691	0.466621819	0.508067066
449	0.762616923	0.770504093	0.717016237
446	0.571519743	0.641860034	0.689695991
443	0.323775577	0.351297093	0.394737618
441	0.388899695	0.299006981	0.314976275
438	0.356449611	0.506805143	0.375130688
435	0.552411068	0.619802989	0.608211832
432	0.700995346	0.848052966	0.75290198
429	0.740168978	0.862838925	0.709541375
426	0.691771502	0.845757884	0.645572719
423	0.795749739	0.789896995	0.76171692
421	0.918880214	0.702175503	0.75421388
418	0.700434312	0.679383981	0.819656927
415	0.485508124	0.528006098	0.521498959
412	0.709579662	0.84422592	0.836018489
409	0.246114755	0.274725033	0.26272758
406	0.230774571	0.284856853	0.219374893
404	0.201617533	0.212808166	0.240423598
401	0.309396211	0.382032608	0.391696633
398	0.427165538	0.43644082	0.496201366
395	0.298136875	0.294378367	0.448235316
392	0.255256067	0.204446663	0.244605976
389	0.342240272	0.269152539	0.383928479
386	0.185496798	0.254727424	0.321363805
384	0.53942394	0.544388271	0.711795996
381	0.232571481	0.223375309	0.358081882
378	0.168346215	0.16746685	0.19868104
375	0.223626559	0.266544769	0.2618503
372	0.514901889	0.603154613	0.568697109
369	0.714126351	0.793463315	0.699664986
366	0.441104191	0.502592039	0.497045676
364	0.391675014	0.458751027	0.604635622
361	0.478141362	0.429831157	0.510248808
358	0.349254625	0.386761202	0.50924919
355	0.449843522	0.506640642	0.520448299
352	0.409724803	0.488220016	0.493327783
349	0.544997537	0.64513745	0.604535758
347	0.396312996	0.372271704	0.473588104
344	0.443987392	0.404638659	0.484480634
341	0.425374108	0.45197009	0.446407918
338	0.322210486	0.335537903	0.325111599
335	0.551574232	0.617922213	0.682747334
332	0.269177234	0.314600333	0.331088993
329	0.534029891	0.627131945	0.697265655
327	0.565822644	0.533549713	0.634548092
324	0.535983494	0.472592179	0.537703846
321	0.686597672	0.749530957	0.758170297
318	0.603543583	0.671225068	0.666354816
315	0.670991132	0.749271146	0.768063642
312	0.393146611	0.533722655	0.429468863
310	0.456002258	0.610710191	0.522175394
307	0.485851747	0.695840538	0.5573963
304	0.79846913	0.737811791	0.918225164
301	0.470618958	0.514164257	0.497794122
298	0.42868715	0.666345252	0.639861115
295	0.337904115	0.355404489	0.39531125
292	0.710658956	0.772651957	0.825775074
290	0.759537759	0.793895036	0.806895192
287	0.7336325	0.746547732	0.869211207
284	0.382430873	0.464622083	0.476766748
281	0.831267848	0.854259743	0.732343977
278	0.835025637	0.803580645	0.855676119
275	0.752728161	0.634975585	0.746915431
272	0.651014846	0.748824443	0.605718573
270	0.777280684	0.799451323	0.828982764
267	0.772842017	0.756767729	0.781349815
264	0.574682581	0.603683902	0.532253505
261	0.795426758	0.934220654	0.836397169
258	0.928600752	0.887160461	0.872025165
