Position	Replicate1	Replicate2	Replicate3
1016	0.863189142	0.936433611	0.813801375
1005	0.933193797	0.906104044	0.90140579
994	0.733438865	0.773915856	0.737261651
983	0.772575923	0.861694644	0.788809385
972	0.748849975	0.819461811	0.712147813
961	0.29529905	0.320356157	0.314307504
950	0.378994449	0.407606404	0.405492918
939	0.503564548	0.52403992	0.519519074
928	0.591622417	0.617815779	0.638495617
917	0.617815779	0.655309623	0.662158556
906	0.597805727	0.66792065	0.654175041
895	0.559708911	0.683137845	0.634085206
884	0.593676381	0.533199977	0.497493169
873	0.972822581	0.822306776	0.79292077
862	0.885920178	0.829462476	1.05171851
851	0.695078884	0.764584905	0.681955082
840	0.397147994	0.386287962	0.385619155
829	0.353614324	0.397147994	0.358550596
818	0.449143582	0.495771974	0.417615922
807	0.6188873	0.860202734	0.56850645
796	0.608255187	0.763261127	0.550093447
785	0.465789048	0.478055036	0.432343116
774	0.394404693	0.37377672	0.384285014
763	0.43990034	0.557772466	0.433844102
752	0.34454125	0.382955489	0.383619676
741	0.339209533	0.373129575	0.331079278
730	0.617815779	0.776602697	0.655309623
719	0.49491361	0.593676381	0.608255187
708	0.490644034	0.537839874	0.594706036
697	0.503564548	0.504437915	0.514145509
686	0.507067116	0.549775792	0.538772688
675	0.433844102	0.454624904	0.46740615
664	0.359795394	0.406900687	0.42713044
653	0.295811208	0.329933831	0.356073907
642	0.475576266	0.527684906	0.55873985
631	0.322025898	0.414731238	0.430101367
620	0.304127593	0.310517961	0.287722235
609	0.305712749	0.363555776	0.329933831
598	0.343944722	0.450702895	0.42713044
587	0.460971232	0.498356007	0.589575559
576	0.405492918	0.52403992	0.380310222
565	0.457787071	0.463373878	0.456994473
554	0.468216806	0.369910619	0.383619676
543	0.545347839	0.676071915	0.533199977
532	0.250043087	0.375074379	0.256183351
521	0.610366896	0.709683969	0.509710021
510	0.338622237	0.342161329	0.313763322
499	0.124373292	0.166691058	0.133531186
488	0.384285014	0.382292452	0.397147994
477	0.544403642	0.505312797	0.482215063
466	0.624272847	0.255297023	0.244049994
455	0.787443667	0.684322659	0.594706036
444	0.358550596	0.515930493	0.417615922
433	0.419792595	0.399217985	0.416892876
422	0.614612333	0.735985181	0.583477376
411	0.725852655	0.764584905	0.708455245
400	0.503564548	0.597805727	0.491494992
389	0.519519074	0.62970526	0.484728435
378	0.61996068	0.641823546	0.532276812
367	0.583477376	0.909249809	0.842500018
356	1.023550267	1.030074456	0.825161619
345	0.478055036	0.52403992	0.485569134
334	0.442960089	0.527684906	0.423445623
323	0.735985181	0.769903013	0.712147813
312	0.474752869	0.566539567	0.500953508
301	0.534124743	0.564579489	0.472291221
290	0.718344912	0.663306985	0.739821239
279	0.936433611	0.915574141	0.788809385
268	0.773915856	0.818043021	0.723341396
257	0.818043021	0.873723453	0.709683969
246	0.892082241	0.929965192	0.799820754
235	0.751449794	1.195611453	0.775258112
224	1.201843148	0.600921574	0.610366896
213	0.501822347	0.575444471	0.615678299
202	1.242071842	0.763261127	0.809114224
191	0.616746113	0.624272847	0.612839824
180	0.424180035	0.495771974	0.551047513
169	0.589575559	0.750148758	0.685509528
158	0.574448165	0.590598101	0.623192002
147	0.893629441	0.899845126	0.570480161
136	0.85426088	0.772575923	0.861694644
125	1.244226055	0.848360069	0.798435971
114	0.921942463	0.838131559	0.881326581
103	0.808180038	1.077545375	0.798435971
92	0.90140579	0.858713407	0.920346242
81	1.001907016	0.820883061	1.048079841
70	0.884386325	0.893629441	1.505506172
59	0.803989532	0.832342162	0.876756802
48	0.803989532	0.746259151	0.875238813
37	0.704781824	0.744967102	0.797053585
26	1.119417823	0.741104362	0.818043021
15	0.855742485	0.816626688	0.971138268
4	0.612485936	0.826592754	0.921942463
